account_id,sap_cd,account_nm_cn,store_cd,店仓名称,매장인원수,임차료 ,수수료율,인테리어,평균급여,보험율, bonus(매출기준%),Store Area,Open date,Closed date,Open Month,Amortization end Month,Closed Month,Store Type,Trade Zone ,Remodeling Date,Remodeling end Month
D021,8000023,山西凌皓国际贸易有限公司,CN6132,ML 晋城 圣亚,6,"37,500.00",0,"40,000.00","4,200.00",0.28,0.02,199,2023-09-01,,202309,202508,,FP,F4,,202508
D048,8000181,长沙市珀御商贸有限公司,CN6129,ML 郴州 友阿国际广场,5,"25,090.59",0.15,"39,583.33","4,000.00",0.24,0.04,162,2023-08-27,,202308,202508,,FP,F3,,202508
D073,8000413,山东德峻丰品牌管理有限公司,CN6128,MK 菏泽 佳和城,4,"11,900.00",0.1,,"5,750.00",0.15,0.04,124,2023-09-01,,202309,202508,,FP,F2,,202508
D025,8000018,华初壹通国际贸易有限公司,CN6127,ML 石家庄 砂之船奥莱 FO,6,"60,755.29",0.12,"36,020.83","4,000.00",0.28,0.04,203,2023-09-23,,202309,202509,,FO,O2,,202509
D049,8000183,北京鑫聚盛业服装服饰有限公司,CN6125,ML 北京 东坝万达,5,"76,110.55",0,"40,000.00",5500,0.32,0.04,138,2023-09-28,,202309,202509,,FP,F3,,202509
D004,8000030,哈尔滨麟嘉商贸有限公司,CN6122,ML 七台河 新玛特,6,"40,000",0.15,"17,000.00","4,500.00",0.26,0.04,203,2023-08-20,,202308,202508,,FP,F3,2025-09-28,202709
D021,8000023,山西凌皓国际贸易有限公司,CN6121,MK 太原 万象城,4,"28,000.00",0.18,,"5,500.00",0.25,0.03,73,2023-08-29,,202308,202508,,FP,F1,,202508
D003,8000014,依梵(上海)品牌管理有限公司,CN6120,ML 无锡 大东方,6,"112,052.00",0.205,"36,209.50",5500,0.19,0.04,203,2023-08-25,,202308,202508,,FP,F2,,202508
D012,8000007,杭州宇振商业有限公司,CN6119,ML 绍兴 上虞上百万和城,4,"36,000.00",0,"22,916.67","3,271.99",0.23,0.04,129,2023-08-15,,202308,202508,,FP,F3,,202508
D001,8000015,上海凌博商贸有限公司,CN6118,ML 黄山 百大,6,"32,439.44",0.12,"35,176.50","4,890.67",0.22,0.03,145,2023-09-06,,202309,202509,,FP,F3,,202509
D001,8000015,上海凌博商贸有限公司,CN6117,ML 泰州 兴化吾悦,7,"40,346.37",0,"48,283.50","5,486.86",0.25,0.03,184,2023-08-25,,202308,202508,,FP,F3,,202508
D046,8000155,北京蓝梦宇其贸易有限公司,CN6115,MK 邯郸 新世纪,3,  ,0,,"4,500.00",0.25,0.03,75,2023-09-05,,202309,202509,,FP,F3,,202509
D046,8000155,北京蓝梦宇其贸易有限公司,CN6112,MK 沧州 华北,3,  ,0,,"4,500.00",0.25,0.03,92,2023-08-11,,202308,202508,,FP,F3,,202508
D012,8000007,杭州宇振商业有限公司,CN6111,MK 宁波 江东银泰,3,  ,0.175,,"6,736.00",0.21,0.04,90,2023-12-01,,202312,202511,,FP,F3,,202511
D001,8000015,上海凌博商贸有限公司,CN6109,MK 常州 环球港,3,"21,945.00",0.1,,"6,500.00",0.22,0.03,97,2023-09-22,,202309,202509,,FP,F2,,202509
D012,8000007,杭州宇振商业有限公司,CN6108,MK 杭州 城西银泰百货,3,  ,0.26,,"7,500.00",0.15,0.04,61,2023-09-20,,202309,202509,,FP,F2,,202509
D002,8000028,河南金安芯商贸有限公司,CN6106,ML 平顶山 丹尼斯百货,5,"39,145.15",0.15,"37,708.33","4,100.00",0.28,0.04,158,2023-09-01,,202309,202508,,FP,F4,,202508
D001,8000015,上海凌博商贸有限公司,CN6105,ML 南通 圆融广场,5,"26,224.03",0.14,"27,460.07","4,305.58",0.25,0.03,138,2023-09-16,,202309,202509,,FP,F3,,202509
D032,8000002,深圳有盈贸易有限公司,CN6099,ML 深圳 梅林卓悦汇,7,"94,200.00",0.12,"36,113.79","5,215.70",0.25,0.04,162,2023-07-29,,202307,202507,,FP,F3,,202507
D029,8000019,北京嘉尚国际时装有限公司,CN6097,ML 北京 赛特奥莱 FO,16,"330,543.66",0.18,"40,000.00",5500,0.32,0.04,249,2023-07-28,,202307,202507,,FO,O1,,202507
D023,8000017,沈阳瑞元禾商贸有限公司,CN6096,ML 松原 新天地,6,"20,000.00",0.12,"15,000.00",4800,0.25,0.04,129,2023-09-15,,202309,202509,,FP,F3,,202509
D047,8000180,内蒙古旭雅商贸有限公司,CN6095,ML 锡林郭勒盟 锡林浩特维多利百货,5,"50,000.00",0.18,"3,000.00","4,500.00",0.26,0.03,190,2023-07-20,,202307,202507,,FP,F4,,202507
D025,8000018,华初壹通国际贸易有限公司,CN6094,ML 廊坊 霸州衡际未来购物广场,5,"31,257.69",0.08,"40,000.00","4,000.00",0.28,0.04,215,2023-09-03,,202309,202509,,FP,F4,,202509
D004,8000030,哈尔滨麟嘉商贸有限公司,CN6092,ML 三亚 夏日站,5,"11,400.00",0.1,"22,916.67","3,652.08",0.26,0.04,167,2023-10-01,,202310,202509,,FP,F4,,202509
D011,8000009,成都市宝康服饰商贸有限公司,CN6091,ML 绵阳 凯德广场,5,"38,305.00",0.14,"39,391.67","5,900.00",0.27,0.03,131,2023-08-01,,202308,202507,,FP,F3,,202507
D011,8000009,成都市宝康服饰商贸有限公司,CN6090,ML 宜宾 万象汇,4,"38,700.00",0.14,"38,173.47","5,900.00",0.27,0.03,182,2023-09-01,,202309,202508,,FP,F3,,202508
D011,8000009,成都市宝康服饰商贸有限公司,CN6089,ML 成都 世茂广场,4,"27,875.00",0,"33,000.00","5,900.00",0.27,0.03,192,2023-08-01,,202308,202507,,FP,F3,,202507
D012,8000007,杭州宇振商业有限公司,CN6086,MK 杭州 下沙奥莱 FO,3,  ,0.12,,"7,500.00",0.17,0.04,77,2023-07-21,,202307,202507,,FO,O2,2024-08-07,202608
D004,8000030,哈尔滨麟嘉商贸有限公司,CN6083,MK 大庆 新玛特,4,  ,0.15,,"4,900.00",0.26,0.03,85,2023-07-22,,202307,202507,,FP,F2,,202507
D019,8000005,厦门时韫商贸有限公司,CN6081,ML 厦门 磐基,4,"25,819.87",0.1,"30,066.55","7,005.33",0.14,0.03,293,2023-08-04,,202308,202508,,FP,F3,,202508
D001,8000015,上海凌博商贸有限公司,CN6080,ML 淮安 楚州万达,6,"52,078.69",0,"29,830.54","4,376.61",0.24,0.03,161,2023-08-01,,202308,202507,,FP,F3,,202507
D023,8000017,沈阳瑞元禾商贸有限公司,CN6078,ML 长春 万象城,7,"132,430.00",0,"13,000.00",4800,0.25,0.04,149,2023-07-28,,202307,202507,,FP,F1,,202507
D048,8000181,长沙市珀御商贸有限公司,CN6077,ML 娄底 天虹百货,5,"59,379.16",0.14,"39,583.33","4,000.00",0.24,0.04,166,2023-07-21,,202307,202507,,FP,F3,,202507
D004,8000030,哈尔滨麟嘉商贸有限公司,CN6076,ML 鸡西 广益新玛特,5,"50,301.50",0.18,"17,000.00","4,500.00",0.26,0.04,145,2023-07-06,,202307,202507,,FP,F4,,202507
D023,8000017,沈阳瑞元禾商贸有限公司,CN6074,ML 延边朝鲜族自治州 百货大楼,6,"120,000.00",0.2,"8,000.00",4800,0.25,0.04,92,2023-06-20,,202306,202506,,FP,F2,,202506
D023,8000017,沈阳瑞元禾商贸有限公司,CN6073,ML 四平 万达,6,"102,954.00",0,"14,000.00",4800,0.25,0.04,141,2023-07-05,,202307,202507,,FP,F3,,202507
D019,8000005,厦门时韫商贸有限公司,CN6071,MK 厦门 尚柏奥莱 FO,4,  ,0.09,,"7,500.00",0.2,0.03,143,2023-06-25,,202306,202506,,FO,O2,,202506
D001,8000015,上海凌博商贸有限公司,CN6070,MK 盐城 聚龙湖金鹰,3,"16,773.00",0.13,,"6,500.00",0.21,0.03,102,2023-06-30,,202306,202506,,FP,F2,,202506
D025,8000018,华初壹通国际贸易有限公司,CN6068,ML 唐山 路南万达,6,"90,300.00",0,"31,250.00","4,000.00",0.28,0.04,127,2023-07-01,,202307,202506,,FP,F2,,202506
D021,8000023,山西凌皓国际贸易有限公司,CN6067,ML 晋中 万达,7,"54,303.25",0,"36,458.33","4,200.00",0.28,0.03,151,2023-06-25,,202306,202506,,FP,F3,,202506
D025,8000018,华初壹通国际贸易有限公司,CN6066,ML 石家庄 北国奥莱二店 FO,7,"56,863.85",0.16,"40,000.00","4,000.00",0.28,0.04,114,2023-06-30,,202306,202506,,FO,O2,,202506
D032,8000002,深圳有盈贸易有限公司,CN6065,ML 深圳 福田COCO PARK,10,"224,787.20",0.12,"33,076.23","5,215.70",0.25,0.04,204,2023-07-16,,202307,202507,,FP,F2,,202507
D004,8000030,哈尔滨麟嘉商贸有限公司,CN6064,ML 海口 观澜湖奥莱 FO,8,"74,800.00",0.11,"20,833.33","3,315.52",0.26,0.04,188,2023-09-01,,202309,202508,,FO,O2,,202508
D004,8000030,哈尔滨麟嘉商贸有限公司,CN6063,ML 绥化 第一百货,5,"25,704.17",0.18,"17,000.00","4,500.00",0.26,0.04,128,2023-06-20,,202306,202506,,FP,F4,,202506
D031,8000010,成都莱恒商贸有限公司,CN6062,ML 拉萨 天海国际,5,"82,500.00",0,"35,250.00","9,289.05",0.18,0.04,163,2023-08-12,,202308,202508,,FP,F3,,202508
D005,8000029,西安纳霁动力商贸有限公司,CN6061,ML 西安 塞特机场店奥莱 FO,6,"90,000.00",0.18,"21,000.00",4000,0.21,0.02,258,2023-06-15,,202306,202506,,FO,O2,,202506
D014,8000006,重庆渲格商贸有限公司,CN6059,ML 重庆 解放碑国泰优活广场,5,"70,000.00",0.08,"22,916.67","1,600.00",0.3,0.04,280,2023-06-30,,202306,202506,,FP,F3,,202506
D001,8000015,上海凌博商贸有限公司,CN6058,ML 南京 景枫广场,9,"198,512.57",0.19,"79,968.15","6,509.37",0.21,0.03,243,2023-06-21,,202306,202506,,FP,F2,2023-06-21,202506
