brd_cd,sap_cd,account_nm_cn,출고율,account_id
MLB,8000310,北京绮妙科技有限公司,0.457531773,D070
MLB,8000385,云南恒磐商贸有限公司,0.438222944,D072
MLB,8000413,山东德峻丰品牌管理有限公司,0.440345238,D073
DISCOVERY,8000007,杭州宇振商业有限公司,0.447828623,D012
DISCOVERY,8000009,成都市宝康服饰商贸有限公司,0.446982439,D011
DISCOVERY,8000011,江西朝明潮贸易有限公司,0.445865228,D020
DISCOVERY,8000019,北京嘉尚国际时装有限公司,0.448391265,D029
DISCOVERY,8000021,新疆莘三石商贸有限公司,0.44732193,D022
DISCOVERY,8000028,河南金安芯商贸有限公司,0.446573278,D002
DISCOVERY,8000030,哈尔滨麟嘉商贸有限公司,0.447494216,D004
DISCOVERY,8000232,孚瑞达（沈阳）贸易有限公司,0.449452569,D054
DISCOVERY,8000233,武汉顶尚贸易有限公司,0.446671323,D055
DISCOVERY,8000237,丰晟（广州）品牌管理有限公司,0.450000091,D058
DISCOVERY,8000276,山西颖璇贸易有限公司,0.446893105,D065
DISCOVERY,8000277,长春恩禾品牌管理有限公司,0.435099199,D066
DISCOVERY,8000280,江苏幸运叶子数字科技有限公司,0.45,D068
